,participant,condition,block,trial,stimulus,stimulus_type,choice,rt,correct,N,n_targets,n_corrects,lure,n_recent_repetitions,n_recent_targets,n_recent_lures,n_recent_corrects,n_lures
169,P1,3-back,3,19,N,non-target,non-target,2093.0,True,3,10,23,False,0.0,1.0,0.0,4.0,0
170,P1,3-back,3,20,M,non-target,non-target,1108.0,True,3,10,23,False,0.0,1.0,0.0,4.0,0
171,P1,3-back,3,21,G,non-target,non-target,1500.0,True,3,10,23,False,0.0,0.0,0.0,4.0,0
172,P1,3-back,3,22,R,non-target,non-target,1838.0,True,3,10,23,False,0.0,0.0,0.0,4.0,0
173,P1,3-back,3,23,M,target,target,615.0,True,3,10,23,False,1.0,1.0,0.0,4.0,0
174,P1,3-back,3,24,V,non-target,non-target,1157.0,True,3,10,23,False,0.0,1.0,0.0,4.0,0
175,P1,3-back,3,25,N,non-target,non-target,2247.0,True,3,10,23,False,0.0,1.0,0.0,4.0,0
176,P1,3-back,3,26,M,target,target,3140.0,True,3,10,23,False,1.0,2.0,0.0,4.0,0
177,P1,3-back,3,27,V,target,non-target,2340.0,False,3,10,23,False,1.0,2.0,0.0,3.0,0
178,P1,3-back,3,28,N,target,non-target,2020.0,False,3,10,23,False,1.0,3.0,0.0,2.0,0
179,P1,3-back,3,29,H,non-target,non-target,1181.0,True,3,10,23,False,0.0,3.0,0.0,2.0,0
180,P1,3-back,3,30,V,target,target,1868.0,True,3,10,23,False,1.0,3.0,0.0,2.0,0
181,P10,2-back,1,1,Q,burn-in,non-target,554.0,False,2,10,27,False,,,,,0
182,P10,2-back,1,2,H,burn-in,non-target,306.0,False,2,10,27,False,,,,,0
183,P10,2-back,1,3,S,burn-in,non-target,425.0,False,2,10,27,False,,,,,0
184,P10,2-back,1,4,T,non-target,non-target,409.0,True,2,10,27,False,0.0,0.0,0.0,1.0,0
185,P10,2-back,1,5,B,non-target,non-target,425.0,True,2,10,27,False,0.0,0.0,0.0,2.0,0
186,P10,2-back,1,6,T,target,target,377.0,True,2,10,27,False,1.0,1.0,0.0,3.0,0
187,P10,2-back,1,7,J,non-target,non-target,385.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
188,P10,2-back,1,8,L,non-target,non-target,633.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
189,P10,2-back,1,9,Y,non-target,non-target,561.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
190,P10,2-back,1,10,L,target,target,409.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
191,P10,2-back,1,11,B,non-target,non-target,385.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
192,P10,2-back,1,12,L,target,target,336.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
193,P10,2-back,1,13,B,target,target,313.0,True,2,10,27,False,2.0,3.0,0.0,4.0,0
194,P10,2-back,1,14,L,target,target,297.0,True,2,10,27,False,2.0,3.0,0.0,4.0,0
195,P10,2-back,1,15,B,target,target,337.0,True,2,10,27,False,2.0,4.0,0.0,4.0,0
196,P10,2-back,1,16,N,non-target,non-target,433.0,True,2,10,27,False,1.0,3.0,0.0,4.0,0
197,P10,2-back,1,17,B,target,target,329.0,True,2,10,27,False,1.0,3.0,0.0,4.0,0
198,P10,2-back,1,18,N,target,target,345.0,True,2,10,27,False,2.0,3.0,0.0,4.0,0
199,P10,2-back,1,19,C,non-target,non-target,412.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
200,P10,2-back,1,20,Q,non-target,non-target,361.0,True,2,10,27,False,0.0,2.0,0.0,4.0,0
201,P10,2-back,1,21,V,non-target,non-target,497.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
202,P10,2-back,1,22,F,non-target,non-target,376.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
203,P10,2-back,1,23,K,non-target,non-target,368.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
204,P10,2-back,1,24,F,target,target,504.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
205,P10,2-back,1,25,W,non-target,non-target,376.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
206,P10,2-back,1,26,G,non-target,non-target,464.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
207,P10,2-back,1,27,Z,non-target,non-target,512.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
208,P10,2-back,1,28,D,non-target,non-target,432.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
209,P10,2-back,1,29,H,non-target,non-target,392.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
210,P10,2-back,1,30,D,target,target,321.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
211,P10,2-back,2,1,T,burn-in,,,False,2,10,27,False,,,,,0
212,P10,2-back,2,2,M,burn-in,non-target,389.0,False,2,10,27,False,,,,,0
213,P10,2-back,2,3,P,burn-in,non-target,357.0,False,2,10,27,False,,,,,0
214,P10,2-back,2,4,M,target,target,358.0,True,2,10,27,False,1.0,1.0,0.0,1.0,0
215,P10,2-back,2,5,R,non-target,non-target,733.0,True,2,10,27,False,1.0,1.0,0.0,2.0,0
216,P10,2-back,2,6,M,target,target,309.0,True,2,10,27,False,1.0,2.0,0.0,3.0,0
217,P10,2-back,2,7,J,non-target,non-target,375.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
218,P10,2-back,2,8,M,target,target,301.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
219,P10,2-back,2,9,L,non-target,non-target,405.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
220,P10,2-back,2,10,S,non-target,non-target,357.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
221,P10,2-back,2,11,L,target,target,325.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
222,P10,2-back,2,12,S,target,target,349.0,True,2,10,27,False,2.0,2.0,0.0,4.0,0
223,P10,2-back,2,13,P,non-target,non-target,397.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
224,P10,2-back,2,14,H,non-target,non-target,396.0,True,2,10,27,False,0.0,2.0,0.0,4.0,0
225,P10,2-back,2,15,P,target,target,428.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
226,P10,2-back,2,16,C,non-target,non-target,388.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
227,P10,2-back,2,17,P,target,target,412.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
228,P10,2-back,2,18,D,non-target,non-target,324.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
229,P10,2-back,2,19,Y,non-target,non-target,437.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
230,P10,2-back,2,20,Z,non-target,non-target,357.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
231,P10,2-back,2,21,M,non-target,non-target,389.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
232,P10,2-back,2,22,Z,target,target,413.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
233,P10,2-back,2,23,T,non-target,non-target,349.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
234,P10,2-back,2,24,F,non-target,non-target,356.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
235,P10,2-back,2,25,N,non-target,non-target,364.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
236,P10,2-back,2,26,B,non-target,non-target,348.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
237,P10,2-back,2,27,N,target,target,564.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
238,P10,2-back,2,28,G,non-target,non-target,502.0,True,2,10,27,False,1.0,1.0,0.0,4.0,0
239,P10,2-back,2,29,N,target,target,324.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
240,P10,2-back,2,30,V,non-target,non-target,396.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
241,P10,2-back,3,1,Q,burn-in,target,1014.0,False,2,10,27,False,,,,,0
242,P10,2-back,3,2,K,burn-in,non-target,630.0,False,2,10,27,False,,,,,0
243,P10,2-back,3,3,L,burn-in,non-target,462.0,False,2,10,27,False,,,,,0
244,P10,2-back,3,4,J,non-target,non-target,334.0,True,2,10,27,False,0.0,0.0,0.0,1.0,0
245,P10,2-back,3,5,L,target,target,398.0,True,2,10,27,False,1.0,1.0,0.0,2.0,0
246,P10,2-back,3,6,R,non-target,non-target,350.0,True,2,10,27,False,1.0,1.0,0.0,3.0,0
247,P10,2-back,3,7,L,target,target,758.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
248,P10,2-back,3,8,W,non-target,non-target,398.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
249,P10,2-back,3,9,S,non-target,non-target,414.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
250,P10,2-back,3,10,W,target,target,327.0,True,2,10,27,False,1.0,2.0,0.0,4.0,0
251,P10,2-back,3,11,S,target,target,327.0,True,2,10,27,False,2.0,2.0,0.0,4.0,0
252,P10,2-back,3,12,W,target,target,334.0,True,2,10,27,False,2.0,3.0,0.0,4.0,0
253,P10,2-back,3,13,S,target,target,326.0,True,2,10,27,False,2.0,4.0,0.0,4.0,0
254,P10,2-back,3,14,G,non-target,non-target,374.0,True,2,10,27,False,1.0,3.0,0.0,4.0,0
255,P10,2-back,3,15,F,non-target,non-target,390.0,True,2,10,27,False,0.0,2.0,0.0,4.0,0
256,P10,2-back,3,16,C,non-target,non-target,430.0,True,2,10,27,False,0.0,1.0,0.0,4.0,0
257,P10,2-back,3,17,J,non-target,non-target,438.0,True,2,10,27,False,0.0,0.0,0.0,4.0,0
